date,state,contact,age,gender,category_level2,category_level3,amount,no_of_reports
2024-07-01,NSW,Social media/Online forums,25 - 34,F,Attempts to gain your personal information,Phishing,48.6,2
2024-01-01,NSW,Social media/Online forums,25 - 34,M,Attempts to gain your personal information,Identity theft,100.0,2
2024-05-01,QLD,Social media/Online forums,25 - 34,M,Attempts to gain your personal information,Hacking,391.54,4
2024-04-01,NSW,Social media/Online forums,25 - 34,M,Buying or selling,Overpayment scams,142.64,2
2024-07-01,NSW,Social media/Online forums,25 - 34,M,Buying or selling,Overpayment scams,350.0,2
2024-01-01,SA,Social media/Online forums,25 - 34,M,Buying or selling,Classified scams,1000.0,5
2024-04-01,WA,Social media/Online forums,25 - 34,M,Buying or selling,Classified scams,545.0,4
2024-05-01,WA,Social media/Online forums,25 - 34,M,Buying or selling,Classified scams,310.0,3
2024-04-01,WA,Social media/Online forums,25 - 34,F,Buying or selling,Classified scams,500.0,2
2024-05-01,WA,Social media/Online forums,25 - 34,F,Buying or selling,Classified scams,8140.0,2
2024-07-01,WA,Social media/Online forums,25 - 34,F,Buying or selling,Classified scams,2100.0,3
2024-06-01,QLD,Social media/Online forums,25 - 34,M,Buying or selling,Classified scams,50.0,4
2024-03-01,QLD,Social media/Online forums,25 - 34,F,Buying or selling,Classified scams,4980.0,8
2024-04-01,QLD,Social media/Online forums,25 - 34,F,Buying or selling,Classified scams,1680.89,4
2024-06-01,QLD,Social media/Online forums,25 - 34,F,Buying or selling,Classified scams,3910.0,6
2024-01-01,VIC,Social media/Online forums,25 - 34,M,Buying or selling,Classified scams,1520.0,13
2024-02-01,VIC,Social media/Online forums,25 - 34,M,Buying or selling,Classified scams,1050.0,5
2024-04-01,VIC,Social media/Online forums,25 - 34,M,Buying or selling,Classified scams,23300.0,6
2024-01-01,VIC,Social media/Online forums,25 - 34,F,Buying or selling,Classified scams,6360.0,10
2024-07-01,VIC,Social media/Online forums,25 - 34,F,Buying or selling,Classified scams,12391.0,4
2024-01-01,NSW,Social media/Online forums,25 - 34,M,Buying or selling,Classified scams,735.0,7
2024-02-01,NSW,Social media/Online forums,25 - 34,M,Buying or selling,Classified scams,10970.0,3
2024-04-01,NSW,Social media/Online forums,25 - 34,M,Buying or selling,Classified scams,1100.0,4
2024-05-01,NSW,Social media/Online forums,25 - 34,M,Buying or selling,Classified scams,2957.98,5
2024-01-01,NSW,Social media/Online forums,25 - 34,F,Buying or selling,Classified scams,1310.0,7
2024-02-01,NSW,Social media/Online forums,25 - 34,F,Buying or selling,Classified scams,6732.0,10
2024-04-01,NSW,Social media/Online forums,25 - 34,F,Buying or selling,Classified scams,10950.0,8
2024-05-01,NSW,Social media/Online forums,25 - 34,F,Buying or selling,Classified scams,2150.0,3
2024-07-01,NSW,Social media/Online forums,25 - 34,F,Buying or selling,Classified scams,2415.0,9
2024-05-01,QLD,Social media/Online forums,25 - 34,M,Buying or selling,Online shopping scams,1302.0,6
2024-01-01,QLD,Social media/Online forums,25 - 34,F,Buying or selling,Online shopping scams,432.0,4
2024-03-01,QLD,Social media/Online forums,25 - 34,F,Buying or selling,Online shopping scams,240.0,3
2024-04-01,QLD,Social media/Online forums,25 - 34,F,Buying or selling,Online shopping scams,407.11,6
2024-05-01,QLD,Social media/Online forums,25 - 34,F,Buying or selling,Online shopping scams,573.45,9
2024-01-01,WA,Social media/Online forums,25 - 34,M,Buying or selling,Online shopping scams,100.0,3
2024-02-01,WA,Social media/Online forums,25 - 34,M,Buying or selling,Online shopping scams,1713.0,6
2024-05-01,WA,Social media/Online forums,25 - 34,M,Buying or selling,Online shopping scams,500.61,4
2024-06-01,WA,Social media/Online forums,25 - 34,F,Buying or selling,Online shopping scams,119.2,4
2024-03-01,SA,Social media/Online forums,25 - 34,M,Buying or selling,Online shopping scams,334.97,3
2024-04-01,SA,Social media/Online forums,25 - 34,M,Buying or selling,Online shopping scams,57.0,3
2024-05-01,ACT,Social media/Online forums,25 - 34,F,Buying or selling,Online shopping scams,140.0,3
